Model,Missing,Feature,Imbalance,Params,Accuracy,Precision,Recall,F1,FNR
RandomForest,drop,none,undersample,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,drop,none,smote,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,drop,tfidf,none,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,drop,tfidf,class_weight,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,drop,tfidf,undersample,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,drop,tfidf,smote,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,knn,none,none,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,knn,none,class_weight,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,knn,none,undersample,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,knn,none,smote,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,knn,tfidf,class_weight,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,knn,tfidf,smote,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,model,none,none,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,model,none,class_weight,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
